,Year,Month,Day,Cluster,Rainfall
1113,1999,12,29,3,0
1114,1999,12,30,3,0
1115,1999,12,31,3,0
1131,1999,1,16,3,0
1132,1999,1,17,3,0
1133,1999,1,18,3,0
1134,1999,1,19,3,0
1135,1999,1,20,3,0
1136,1999,1,21,3,0
1137,1999,1,22,3,0
1138,1999,1,23,3,0
1139,1999,1,24,3,0
1140,1999,1,25,3,0
1141,1999,1,26,3,0
1142,1999,1,27,3,0
1143,1999,1,28,3,0
1144,1999,1,29,3,0
1145,1999,1,30,3,0
1146,1999,1,31,3,0
1162,1999,2,16,3,0
1163,1999,2,17,3,0
1164,1999,2,18,3,0
1165,1999,2,19,3,0
1166,1999,2,20,3,0
1167,1999,2,21,3,0
1168,1999,2,22,3,0
1169,1999,2,23,3,0
1170,1999,2,24,3,0
1171,1999,2,25,3,0
1172,1999,2,26,3,0
1173,1999,2,27,3,0
1174,1999,2,28,3,0
1175,1999,2,29,3,0
1176,1999,2,30,3,0
1177,1999,2,31,3,0
1193,1999,3,16,3,0
1194,1999,3,17,3,0
1195,1999,3,18,3,0
1196,1999,3,19,3,0
1197,1999,3,20,3,0
1198,1999,3,21,3,0
1199,1999,3,22,3,0
1200,1999,3,23,3,0
1201,1999,3,24,3,0
1202,1999,3,25,3,0
1203,1999,3,26,3,0
1204,1999,3,27,3,0
1205,1999,3,28,3,0
1206,1999,3,29,3,0
1207,1999,3,30,3,0
1208,1999,3,31,3,0
1224,1999,4,16,3,0
1225,1999,4,17,3,0
1226,1999,4,18,3,0
1227,1999,4,19,3,0
1228,1999,4,20,3,26
1229,1999,4,21,3,0
1230,1999,4,22,3,0
1231,1999,4,23,3,0
1232,1999,4,24,3,0
1233,1999,4,25,3,0
1234,1999,4,26,3,0
1235,1999,4,27,3,0
1236,1999,4,28,3,0
1237,1999,4,29,3,0
1238,1999,4,30,3,0
1239,1999,4,31,3,0
1255,1999,5,16,3,10
1256,1999,5,17,3,0
1257,1999,5,18,3,17
1258,1999,5,19,3,0
1259,1999,5,20,3,0
1260,1999,5,21,3,0
1261,1999,5,22,3,0
1262,1999,5,23,3,0
1263,1999,5,24,3,55
1264,1999,5,25,3,1
1265,1999,5,26,3,0
1266,1999,5,27,3,0
1267,1999,5,28,3,0
1268,1999,5,29,3,6
1269,1999,5,30,3,26
1270,1999,5,31,3,0
1286,1999,6,16,3,0
1287,1999,6,17,3,0
1288,1999,6,18,3,0
1289,1999,6,19,3,2
1290,1999,6,20,3,0
1291,1999,6,21,3,0
1292,1999,6,22,3,2
1293,1999,6,23,3,61
1294,1999,6,24,3,32
1295,1999,6,25,3,16
1296,1999,6,26,3,95
1297,1999,6,27,3,6
1298,1999,6,28,3,29
1299,1999,6,29,3,23
1300,1999,6,30,3,8
1301,1999,6,31,3,0
1317,1999,7,16,3,4
1318,1999,7,17,3,0
1319,1999,7,18,3,6
1320,1999,7,19,3,17
1321,1999,7,20,3,42
1322,1999,7,21,3,28
1323,1999,7,22,3,1
1324,1999,7,23,3,0
1325,1999,7,24,3,0
1326,1999,7,25,3,0
1327,1999,7,26,3,1
1328,1999,7,27,3,2
1329,1999,7,28,3,10
1330,1999,7,29,3,3
1331,1999,7,30,3,0
1332,1999,7,31,3,7
1348,1999,8,16,3,11
1349,1999,8,17,3,23
1350,1999,8,18,3,0
1351,1999,8,19,3,3
1352,1999,8,20,3,4
1353,1999,8,21,3,0
1354,1999,8,22,3,14
1355,1999,8,23,3,0
1356,1999,8,24,3,0
1357,1999,8,25,3,0
1358,1999,8,26,3,9
1359,1999,8,27,3,16
1360,1999,8,28,3,12
1361,1999,8,29,3,0
1362,1999,8,30,3,0
1363,1999,8,31,3,28
1379,1999,9,16,3,1
1380,1999,9,17,3,3
1381,1999,9,18,3,1
1382,1999,9,19,3,13
1383,1999,9,20,3,18
1384,1999,9,21,3,31
1385,1999,9,22,3,66
1386,1999,9,23,3,5
1387,1999,9,24,3,7
1388,1999,9,25,3,10
1389,1999,9,26,3,0
1390,1999,9,27,3,5
1391,1999,9,28,3,0
1392,1999,9,29,3,0
1393,1999,9,30,3,0
1394,1999,9,31,3,0
1410,1999,10,16,3,0
1411,1999,10,17,3,3
1412,1999,10,18,3,185
1413,1999,10,19,3,72
1414,1999,10,20,3,61
1415,1999,10,21,3,2
1416,1999,10,22,3,4
1417,1999,10,23,3,0
1418,1999,10,24,3,0
1419,1999,10,25,3,0
1420,1999,10,26,3,0
1421,1999,10,27,3,0
1422,1999,10,28,3,0
1423,1999,10,29,3,0
1424,1999,10,30,3,0
1425,1999,10,31,3,0
1441,1999,11,16,3,0
1442,1999,11,17,3,0
1443,1999,11,18,3,0
1444,1999,11,19,3,0
1445,1999,11,20,3,0
1446,1999,11,21,3,0
1447,1999,11,22,3,0
1448,1999,11,23,3,0
1449,1999,11,24,3,0
1450,1999,11,25,3,0
1451,1999,11,26,3,0
1452,1999,11,27,3,0
1453,1999,11,28,3,0
1454,1999,11,29,3,0
1455,1999,11,30,3,0
1456,1999,11,31,3,0
1472,1999,12,16,3,0
1473,1999,12,17,3,0
1474,1999,12,18,3,0
1475,1999,12,19,3,0
1476,1999,12,20,3,0
1477,1999,12,21,3,0
1478,1999,12,22,3,0
1479,1999,12,23,3,0
1480,1999,12,24,3,0
1481,1999,12,25,3,0
1482,1999,12,26,3,0
1483,1999,12,27,3,0
1484,1999,12,28,3,0
1485,1999,12,29,3,0
1486,1999,12,30,3,0
1487,1999,12,31,3,0
1503,1999,1,16,3,0
1504,1999,1,17,3,0
1505,1999,1,18,3,0
1506,1999,1,19,3,0
1507,1999,1,20,3,0
1508,1999,1,21,3,0
1509,1999,1,22,3,0
1510,1999,1,23,3,0
1511,1999,1,24,3,0
1512,1999,1,25,3,0
1513,1999,1,26,3,0
1514,1999,1,27,3,0
1515,1999,1,28,3,0
1516,1999,1,29,3,0
1517,1999,1,30,3,0
1518,1999,1,31,3,0
1534,1999,2,16,3,0
1535,1999,2,17,3,0
1536,1999,2,18,3,0
1537,1999,2,19,3,0
1538,1999,2,20,3,0
1539,1999,2,21,3,0
1540,1999,2,22,3,0
1541,1999,2,23,3,0
1542,1999,2,24,3,0
1543,1999,2,25,3,0
1544,1999,2,26,3,0
1545,1999,2,27,3,0
1546,1999,2,28,3,0
1547,1999,2,29,3,0
1548,1999,2,30,3,0
1549,1999,2,31,3,0
1565,1999,3,16,3,0
1566,1999,3,17,3,0
1567,1999,3,18,3,0
1568,1999,3,19,3,0
1569,1999,3,20,3,0
1570,1999,3,21,3,0
1571,1999,3,22,3,0
1572,1999,3,23,3,0
1573,1999,3,24,3,0
1574,1999,3,25,3,0
1575,1999,3,26,3,0
1576,1999,3,27,3,0
1577,1999,3,28,3,0
1578,1999,3,29,3,0
1579,1999,3,30,3,0
1580,1999,3,31,3,0
1596,1999,4,16,3,0
1597,1999,4,17,3,0
1598,1999,4,18,3,0
1599,1999,4,19,3,0
1600,1999,4,20,3,5
1601,1999,4,21,3,0
1602,1999,4,22,3,0
1603,1999,4,23,3,0
1604,1999,4,24,3,0
1605,1999,4,25,3,0
1606,1999,4,26,3,0
1607,1999,4,27,3,0
1608,1999,4,28,3,0
1609,1999,4,29,3,0
1610,1999,4,30,3,0
1611,1999,4,31,3,0
1627,1999,5,16,3,28
1628,1999,5,17,3,5
1629,1999,5,18,3,0
1630,1999,5,19,3,6
1631,1999,5,20,3,0
1632,1999,5,21,3,2
1633,1999,5,22,3,6
1634,1999,5,23,3,22
1635,1999,5,24,3,0
1636,1999,5,25,3,17
1637,1999,5,26,3,0
1638,1999,5,27,3,1
1639,1999,5,28,3,0
1640,1999,5,29,3,17
1641,1999,5,30,3,21
1642,1999,5,31,3,0
1658,1999,6,16,3,0
1659,1999,6,17,3,1
1660,1999,6,18,3,5
1661,1999,6,19,3,2
1662,1999,6,20,3,2
1663,1999,6,21,3,3
1664,1999,6,22,3,44
1665,1999,6,23,3,55
1666,1999,6,24,3,33
1667,1999,6,25,3,13
1668,1999,6,26,3,3
1669,1999,6,27,3,0
1670,1999,6,28,3,7
1671,1999,6,29,3,27
1672,1999,6,30,3,29
1673,1999,6,31,3,0
1689,1999,7,16,3,2
1690,1999,7,17,3,0
1691,1999,7,18,3,2
1692,1999,7,19,3,14
1693,1999,7,20,3,29
1694,1999,7,21,3,7
1695,1999,7,22,3,5
1696,1999,7,23,3,2
1697,1999,7,24,3,20
1698,1999,7,25,3,0
1699,1999,7,26,3,1
1700,1999,7,27,3,1
1701,1999,7,28,3,5
1702,1999,7,29,3,28
1703,1999,7,30,3,0
1704,1999,7,31,3,5
1720,1999,8,16,3,9
1721,1999,8,17,3,0
1722,1999,8,18,3,0
1723,1999,8,19,3,0
1724,1999,8,20,3,3
1725,1999,8,21,3,1
1726,1999,8,22,3,0
1727,1999,8,23,3,2
1728,1999,8,24,3,19
1729,1999,8,25,3,0
1730,1999,8,26,3,5
1731,1999,8,27,3,7
1732,1999,8,28,3,1
1733,1999,8,29,3,75
1734,1999,8,30,3,15
1735,1999,8,31,3,22
1751,1999,9,16,3,10
1752,1999,9,17,3,1
1753,1999,9,18,3,1
1754,1999,9,19,3,6
1755,1999,9,20,3,0
1756,1999,9,21,3,34
1757,1999,9,22,3,38
1758,1999,9,23,3,2
1759,1999,9,24,3,18
1760,1999,9,25,3,7
1761,1999,9,26,3,0
1762,1999,9,27,3,1
1763,1999,9,28,3,0
1764,1999,9,29,3,0
1765,1999,9,30,3,0
1766,1999,9,31,3,0
1782,1999,10,16,3,0
1783,1999,10,17,3,0
1784,1999,10,18,3,104
1785,1999,10,19,3,37
1786,1999,10,20,3,68
1787,1999,10,21,3,19
1788,1999,10,22,3,9
1789,1999,10,23,3,0
1790,1999,10,24,3,0
1791,1999,10,25,3,0
1792,1999,10,26,3,0
1793,1999,10,27,3,0
1794,1999,10,28,3,0
1795,1999,10,29,3,0
1796,1999,10,30,3,2
1797,1999,10,31,3,0
1813,1999,11,16,3,0
1814,1999,11,17,3,0
1815,1999,11,18,3,0
1816,1999,11,19,3,0
1817,1999,11,20,3,0
1818,1999,11,21,3,0
1819,1999,11,22,3,0
1820,1999,11,23,3,0
1821,1999,11,24,3,0
1822,1999,11,25,3,0
1823,1999,11,26,3,0
1824,1999,11,27,3,0
1825,1999,11,28,3,0
1826,1999,11,29,3,0
1827,1999,11,30,3,0
1828,1999,11,31,3,0
1844,1999,12,16,3,0
1845,1999,12,17,3,0
1846,1999,12,18,3,0
1847,1999,12,19,3,0
1848,1999,12,20,3,0
1849,1999,12,21,3,0
1850,1999,12,22,3,0
1851,1999,12,23,3,0
1852,1999,12,24,3,0
1853,1999,12,25,3,0
1854,1999,12,26,3,0
1855,1999,12,27,3,0
1856,1999,12,28,3,0
1857,1999,12,29,3,0
1858,1999,12,30,3,0
1859,1999,12,31,3,0
1875,1999,1,16,3,0
1876,1999,1,17,3,0
1877,1999,1,18,3,0
1878,1999,1,19,3,0
1879,1999,1,20,3,0
1880,1999,1,21,3,0
1881,1999,1,22,3,0
1882,1999,1,23,3,0
1883,1999,1,24,3,0
1884,1999,1,25,3,0
1885,1999,1,26,3,0
1886,1999,1,27,3,0
1887,1999,1,28,3,0
1888,1999,1,29,3,0
1889,1999,1,30,3,0
1890,1999,1,31,3,0
1906,1999,2,16,3,0
1907,1999,2,17,3,0
1908,1999,2,18,3,0
1909,1999,2,19,3,0
